I;Preventivo;;;;;;;;;
C;;test;Via delle pecore 1;;;BG;bianchimro@gmail.com;0363 1312313;;C
T;;26 11 2012;SISTEMA;01;0111;IVA;10;07;;
D;1;H69_FN1;1000;1000;0;0;0;0;1;D
V;1;H69_FERMAV;D;;;;;;;
V;2;H69_FIN_INT;PIL_VMO;;;;;;;
V;3;H69_FIN_EST;STD;;;;;;;
V;4;AP_LATO;D;;;;;;;
V;5;AP_TIPO1A;B;;;;;;;
V;6;AP_SICUR;1;;;;;;;
V;7;H69_VETRO;4/18GA/4BE;;;;;;;
V;8;ACC_INT;3L_55X10;;;;;;;
V;9;ACC_EST;3L_30X10;;;;;;;
V;10;MANIGLIA;0710/U26F3;;;;;;;
V;11;PROF_ALL;FN_TM;;;;;;;
V;12;GUARN_AL;GT_FN_M;;;;;;;
V;13;INGLESINA;NO;;;;;;;
V;14;FRES_TEL_L;NO;;;;;;;
V;15;FRES_TEL_S;NO;;;;;;;
V;16;CERNIERE;ROTO_NT;;;;;;;
V;17;FORMA;STD;;;;;;;
