data,versione,gradigiorno,tipo
2010-01-01,a,13.2,1
2010-01-02,a,12.1,1
2010-01-03,a,15.4,1
2010-01-04,a,16.6,1
2010-01-05,a,15.8,1
2010-01-06,a,13.9,1
2010-01-07,a,13.6,1
2010-01-08,a,14.9,1
2010-01-09,a,14.0,1
2010-01-10,a,12.3,1
2010-01-11,a,15.5,1
2010-01-12,a,14.6,1
2010-01-13,a,14.4,1
2010-01-14,a,13.9,1
2010-01-15,a,12.3,1
2010-01-16,a,14.9,1
2010-01-17,a,14.1,1
2010-01-18,a,16.1,1
2010-01-19,a,17.4,1
2010-01-20,a,17.8,1
2010-01-21,a,17.6,1
2010-01-22,a,17.7,1
2010-01-23,a,16.9,1
2010-01-24,a,17.2,1
2010-01-25,a,16.7,1
2010-01-26,a,15.5,1
2010-01-27,a,15.6,1
2010-01-28,a,15.1,1
2010-01-29,a,16.4,1
2010-01-30,a,15.6,1
2010-01-31,a,15.0,1
2010-02-01,a,15.3,1
2010-02-02,a,13.9,1
2010-02-03,a,12.9,1
2010-02-04,a,13.7,1
2010-02-05,a,16.4,1
2010-02-06,a,14.4,1
2010-02-07,a,13.7,1
2010-02-08,a,17.2,1
2010-02-09,a,15.9,1
2010-02-10,a,13.7,1
2010-02-11,a,15.5,1
2010-02-12,a,13.9,1
2010-02-13,a,12.7,1
2010-02-14,a,13.4,1
2010-02-15,a,15.4,1
2010-02-16,a,13.8,1
2010-02-17,a,12.5,1
2010-02-18,a,11.0,1
2010-02-19,a,10.8,1
2010-02-20,a,9.2,1
2010-02-21,a,11.5,1
2010-02-22,a,12.7,1
2010-02-23,a,11.2,1
2010-02-24,a,9.3,1
2010-02-25,a,8.0,1
2010-02-26,a,8.1,1
2010-02-27,a,7.5,1
2010-02-28,a,9.8,1
2010-03-01,a,9.6,1
2010-03-02,a,6.9,1
2010-03-03,a,9.3,1
2010-03-04,a,10.9,1
2010-03-05,a,11.7,1
2010-03-06,a,12.5,1
2010-03-07,a,13.7,1
2010-03-08,a,15.1,1
2010-03-09,a,16.9,1
2010-03-10,a,16.9,1
2010-03-11,a,14.9,1
2010-03-12,a,12.2,1
2010-03-13,a,10.3,1
2010-03-14,a,8.4,1
2010-03-15,a,7.1,1
2010-03-16,a,6.3,1
2010-03-17,a,6.7,1
2010-03-18,a,6.1,1
2010-03-19,a,5.6,1
2010-03-20,a,6.7,1
2010-03-21,a,7.1,1
2010-03-22,a,6.7,1
2010-03-23,a,4.5,1
2010-03-24,a,2.6,1
2010-03-25,a,3.7,1
2010-03-26,a,4.5,1
2010-03-27,a,4.3,1
2010-03-28,a,3.2,1
2010-03-29,a,3.9,1
2010-03-30,a,6.6,1
2010-03-31,a,6.1,1
2010-04-01,a,8.6,1
2010-04-02,a,7.7,1
2010-04-03,a,8.8,1
2010-04-04,a,9.3,1
2010-04-05,a,4.7,1
2010-04-06,a,3.5,1
2010-04-07,a,3.2,1
2010-04-08,a,2.3,1
2010-04-09,a,1.0,1
2010-04-10,a,1.0,1
2010-04-11,a,7.4,1
2010-04-12,a,7.7,1
2010-04-13,a,7.2,1
2010-04-14,a,5.3,1
2010-04-15,a,4.3,1
2010-04-16,a,,1
2010-04-17,a,,1
2010-04-18,a,,1
2010-04-19,a,,1
2010-04-20,a,,1
2010-04-21,a,,1
2010-04-22,a,,1
2010-04-23,a,,1
2010-04-24,a,,1
2010-04-25,a,,1
2010-04-26,a,,1
2010-04-27,a,,1
2010-04-28,a,,1
2010-04-29,a,,1
2010-04-30,a,,1
2010-05-01,a,,1
2010-05-02,a,,1
2010-05-03,a,,1
2010-05-04,a,,1
2010-05-05,a,,1
2010-05-06,a,,1
2010-05-07,a,,1
2010-05-08,a,,1
2010-05-09,a,,1
2010-05-10,a,,1
2010-05-11,a,,1
2010-05-12,a,,1
2010-05-13,a,,1
2010-05-14,a,,1
2010-05-15,a,,1
2010-05-16,a,,1
2010-05-17,a,,1
2010-05-18,a,,1
2010-05-19,a,,1
2010-05-20,a,,1
2010-05-21,a,,1
2010-05-22,a,,1
2010-05-23,a,,1
2010-05-24,a,,1
2010-05-25,a,,1
2010-05-26,a,,1
2010-05-27,a,,1
2010-05-28,a,,1
2010-05-29,a,,1
2010-05-30,a,,1
2010-05-31,a,,1
2010-06-01,a,,1
2010-06-02,a,,1
2010-06-03,a,,1
2010-06-04,a,,1
2010-06-05,a,,1
2010-06-06,a,,1
2010-06-07,a,,1
2010-06-08,a,,1
2010-06-09,a,,1
2010-06-10,a,,1
2010-06-11,a,,1
2010-06-12,a,,1
2010-06-13,a,,1
2010-06-14,a,,1
2010-06-15,a,,1
2010-06-16,a,,1
2010-06-17,a,,1
2010-06-18,a,,1
2010-06-19,a,,1
2010-06-20,a,,1
2010-06-21,a,,1
2010-06-22,a,,1
2010-06-23,a,,1
2010-06-24,a,,1
2010-06-25,a,,1
2010-06-26,a,,1
2010-06-27,a,,1
2010-06-28,a,,1
2010-06-29,a,,1
2010-06-30,a,,1
2010-07-01,a,,1
2010-07-02,a,,1
2010-07-03,a,,1
2010-07-04,a,,1
2010-07-05,a,,1
2010-07-06,a,,1
2010-07-07,a,,1
2010-07-08,a,,1
2010-07-09,a,,1
2010-07-10,a,,1
2010-07-11,a,,1
2010-07-12,a,,1
2010-07-13,a,,1
2010-07-14,a,,1
2010-07-15,a,,1
2010-07-16,a,,1
2010-07-17,a,,1
2010-07-18,a,,1
2010-07-19,a,,1
