"mese";"id_profilo";"id_combustibile";"sum"
1;1;204;483641
1;1;305;738510
1;2;305;110764
1;4;204;13077.9
1;4;305;97601.3
2;1;204;453327
2;1;305;692220
2;2;305;103163
2;4;204;12498
2;4;305;93273.2
3;1;204;429783
3;1;305;656270
3;2;305;97823.2
3;4;204;11867.7
3;4;305;88569
4;1;204;183454
4;1;305;280130
4;2;305;41027.2
4;4;204;10825.3
4;4;305;80789.9
5;1;204;0
5;1;305;0
5;2;305;0
5;4;204;10058.1
5;4;305;75064.4
6;1;204;0
6;1;305;0
6;2;305;0
6;4;204;9187.86
6;4;305;68569.5
7;1;204;0
7;1;305;0
7;2;305;0
7;4;204;8424.86
7;4;305;62875.2
8;1;204;0
8;1;305;0
8;2;305;0
8;4;204;8319.11
8;4;305;62086
9;1;204;0
9;1;305;0
9;2;305;0
9;4;204;9176.49
9;4;305;68484.6
10;1;204;108224
10;1;305;165256
10;2;305;23663.3
10;4;204;10363.6
10;4;305;77344.4
11;1;204;326912
11;1;305;499186
11;2;305;74096
11;4;204;11416.6
11;4;305;85202.8
12;1;204;445535
12;1;305;680322
12;2;305;101526
12;4;204;12725.4
12;4;305;94970.5
